file_number,label,error
10335,fake,Empty transcription
10474,fake,Empty transcription
11836,fake,Empty transcription
1650,fake,Empty transcription
17375,fake,Empty transcription
18297,fake,Empty transcription
21441,fake,Empty transcription
22951,fake,Empty transcription
24307,fake,Empty transcription
24355,fake,Empty transcription
2481,fake,Empty transcription
30596,fake,Empty transcription
3426,fake,Empty transcription
3693,fake,Empty transcription
392,fake,Empty transcription
5057,fake,Empty transcription
5434,fake,Empty transcription
7600,fake,Empty transcription
8967,fake,Empty transcription
9861,fake,Empty transcription
10483,real,Empty transcription
10776,real,Empty transcription
11357,real,Empty transcription
11431,real,Empty transcription
1156,real,Empty transcription
11672,real,Empty transcription
11893,real,Empty transcription
12415,real,Empty transcription
12452,real,Empty transcription
12668,real,Empty transcription
13612,real,Empty transcription
14088,real,Empty transcription
14168,real,Empty transcription
14694,real,Empty transcription
14793,real,Empty transcription
16852,real,Empty transcription
17640,real,Empty transcription
18531,real,Empty transcription
19312,real,Empty transcription
19422,real,Empty transcription
20747,real,Empty transcription
20867,real,Empty transcription
20965,real,Empty transcription
21434,real,Empty transcription
2198,real,Empty transcription
24157,real,Empty transcription
2434,real,Empty transcription
24515,real,Empty transcription
24600,real,Empty transcription
25602,real,Empty transcription
25651,real,Empty transcription
25833,real,Empty transcription
26149,real,Empty transcription
26360,real,Empty transcription
27503,real,Empty transcription
27511,real,Empty transcription
30228,real,Empty transcription
30653,real,Empty transcription
31268,real,Empty transcription
31457,real,Empty transcription
3320,real,Empty transcription
3377,real,Empty transcription
3542,real,Empty transcription
3677,real,Empty transcription
379,real,Empty transcription
4011,real,Empty transcription
4102,real,Empty transcription
4185,real,Empty transcription
5777,real,Empty transcription
5872,real,Empty transcription
5911,real,Empty transcription
6082,real,Empty transcription
6147,real,Empty transcription
6817,real,Empty transcription
7496,real,Empty transcription
7592,real,Empty transcription
8286,real,Empty transcription
8534,real,Empty transcription
9544,real,Empty transcription
9747,real,Empty transcription
